Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-08-23 14:54:17.416 +0100,"Failure",0:00:00,1,0,0,"20170823_145417.416/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'TC01/AW_OpenStationLog'.",0
2017-08-23 14:55:14.899 +0100,"Failure",0:00:00,1,0,0,"20170823_145514.899/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'TC01/AW_OpenStationLog'.",0
2017-08-23 14:55:57.316 +0100,"Failure",0:00:00,1,0,0,"20170823_145557.316/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'TC01/AW_OpenStationLog'.",0
2017-08-23 14:56:22.793 +0100,"Failure",0:00:00,1,0,0,"20170823_145622.793/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'TC01/AW_OpenStationLog'.",0
2017-08-23 14:58:21.585 +0100,"Failure",0:00:00,1,0,0,"20170823_145821.585/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'TC01/AW_OpenStationLog'.",0
2017-08-23 14:59:34.048 +0100,"Failure",0:00:00,1,0,0,"20170823_145934.048/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'TC01/AW_OpenStationLog'.",0
2017-08-23 15:00:15.634 +0100,"Failure",0:00:00,1,0,0,"20170823_150015.634/LogFile.txt","","STFileException -- Attempt to access unopened file: ",0
2017-08-23 15:00:49.769 +0100,"Failure",0:00:00,1,0,0,"20170823_150049.769/LogFile.txt","","STFileException -- Attempt to access unopened file: ",0
2017-08-23 15:01:08.343 +0100,"Failure",0:00:00,1,0,0,"20170823_150108.343/LogFile.txt","","STFileException -- Attempt to access unopened file: ",0
2017-08-23 15:01:29.232 +0100,"Failure",0:00:00,1,0,0,"20170823_150129.232/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'TC01/AW_OpenStationLog'.",0
2017-08-23 15:02:01.651 +0100,"Failure",0:00:00,1,0,0,"20170823_150201.651/LogFile.txt","","STFileException -- Attempt to access unopened file: ",0
2017-08-23 15:02:20.066 +0100,"Failure",0:00:00,1,0,0,"20170823_150220.066/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'TC01/AW_OpenStationLog'.",0
2017-08-23 15:02:45.818 +0100,"Failure",0:00:00,1,0,0,"20170823_150245.818/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'TC01/AW_OpenStationLog'.",0
2017-08-23 15:03:02.699 +0100,"Failure",0:00:00,1,0,0,"20170823_150302.699/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'TC01/AW_OpenStationLog'.",0
2017-08-23 15:45:29.110 +0100,"Failure",0:00:00,1,0,0,"20170823_154529.110/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'TC01/AW_OpenStationLog'.",0
2017-08-23 15:49:01.707 +0100,"Failure",0:00:00,1,0,0,"20170823_154901.707/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'TC01/AW_OpenStationLog'.",0
2017-08-23 15:52:33.450 +0100,"Failure",0:00:00,1,0,0,"20170823_155233.450/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'TC01/AW_OpenStationLog'.",0
2017-08-23 15:53:48.333 +0100,"Failure",0:00:00,1,0,0,"20170823_155348.333/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'TC01/AW_OpenStationLog'.",0
2017-08-23 15:55:46.943 +0100,"Failure",0:00:00,1,0,0,"20170823_155546.943/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'TC01/AW_OpenStationLog'.",0
2017-08-23 15:56:28.663 +0100,"Failure",0:00:00,1,0,0,"20170823_155628.663/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'TC01/AW_OpenStationLog'.",0
2017-08-23 15:57:36.916 +0100,"Failure",0:00:00,1,0,0,"20170823_155736.916/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'TC01/AW_OpenStationLog'.",0
2017-08-23 15:58:13.465 +0100,"Failure",0:00:00,1,0,0,"20170823_155813.465/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'TC01/AW_OpenStationLog'.",0
2017-08-23 16:03:52.985 +0100,"Failure",0:00:00,1,0,0,"20170823_160352.985/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'TC01/AW_OpenStationLog'.",0
2017-08-23 16:16:02.267 +0100,"Success",0:00:00,0,0,0,"20170823_161602.267/LogFile.txt","","",1
2017-08-23 16:18:23.934 +0100,"Success",0:00:01,0,0,0,"20170823_161823.934/LogFile.txt","","",1
2017-08-23 16:19:20.823 +0100,"Failure",0:00:00,1,0,0,"20170823_161920.823/LogFile.txt","","STFileException -- Attempt to access unopened file: ",0
2017-08-23 16:19:27.427 +0100,"Success",0:00:00,0,0,0,"20170823_161927.427/LogFile.txt","","",1
2017-08-23 16:19:48.067 +0100,"Success",0:00:01,0,0,0,"20170823_161948.067/LogFile.txt","","",1
2017-08-23 16:21:05.389 +0100,"Failure",0:00:00,1,0,0,"20170823_162105.389/LogFile.txt","","STFileException -- Attempt to access unopened file: ",0
2017-08-23 16:21:11.220 +0100,"Success",0:00:01,0,0,0,"20170823_162111.220/LogFile.txt","","",1
2017-08-23 16:25:15.822 +0100,"Success",0:00:00,0,0,0,"20170823_162515.822/LogFile.txt","","",1
2017-08-23 16:25:28.365 +0100,"Success",0:00:01,0,0,0,"20170823_162528.365/LogFile.txt","","",1
2017-08-23 16:26:58.367 +0100,"Success",0:00:01,0,0,0,"20170823_162658.367/LogFile.txt","","",1
2017-08-23 16:28:54.045 +0100,"Success",0:00:01,0,0,0,"20170823_162854.045/LogFile.txt","","",1
2017-08-23 16:31:20.102 +0100,"Success",0:00:01,0,0,0,"20170823_163120.102/LogFile.txt","","",1
2017-08-23 16:36:18.870 +0100,"Success",0:00:01,0,0,0,"20170823_163618.870/LogFile.txt","","",1
